scenario_id,fault_type,rank,feature,shap_value
65,reaction_wheel_degradation,2,wheel_current_residual_a,0.1152787089616963
65,reaction_wheel_degradation,3,physics_confidence,0.11216926160841502
65,reaction_wheel_degradation,4,rule_pred_battery_voltage_sensor_drift,0.02499158199133256
65,reaction_wheel_degradation,5,physics_detected,0.024528423680431722
66,reaction_wheel_degradation,1,physics_pred_reaction_wheel_degradation,0.28580699016868905
66,reaction_wheel_degradation,2,physics_confidence,0.13742463321456358
66,reaction_wheel_degradation,3,physics_detected,0.03988568153817168
66,reaction_wheel_degradation,4,rule_pred_battery_voltage_sensor_drift,0.02197744167818452
66,reaction_wheel_degradation,5,ml_wheel_ratio,0.017051141102197794
67,reaction_wheel_degradation,1,physics_pred_reaction_wheel_degradation,0.22963707055425664
67,reaction_wheel_degradation,2,physics_confidence,0.10426505565159949
67,reaction_wheel_degradation,3,wheel_current_residual_a,0.08476175306585997
67,reaction_wheel_degradation,4,rule_pred_battery_voltage_sensor_drift,0.03246389587209985
67,reaction_wheel_degradation,5,wheel_current_measured,0.02974692713331894
68,reaction_wheel_degradation,1,physics_pred_reaction_wheel_degradation,0.25480671760784923
68,reaction_wheel_degradation,2,physics_confidence,0.12415209320930327
68,reaction_wheel_degradation,3,wheel_current_residual_a,0.10606331782033496
68,reaction_wheel_degradation,4,physics_detected,0.029187333543720363
68,reaction_wheel_degradation,5,rule_pred_battery_voltage_sensor_drift,0.022639682795690553
69,reaction_wheel_degradation,1,physics_pred_reaction_wheel_degradation,0.2861098594197254
69,reaction_wheel_degradation,2,physics_confidence,0.140585950696421
69,reaction_wheel_degradation,3,physics_detected,0.04610420684244599
69,reaction_wheel_degradation,4,rule_pred_battery_voltage_sensor_drift,0.024823617708208193
69,reaction_wheel_degradation,5,wheel_current_residual_a,0.018778134788604427
70,reaction_wheel_degradation,1,physics_pred_reaction_wheel_degradation,0.29426821580071993
70,reaction_wheel_degradation,2,physics_confidence,0.14320917763097898
70,reaction_wheel_degradation,3,physics_detected,0.045739296020713145
70,reaction_wheel_degradation,4,rule_pred_battery_voltage_sensor_drift,0.024044516345888608
70,reaction_wheel_degradation,5,electronics_temp_residual_c,0.013929318694392586
71,reaction_wheel_degradation,1,physics_pred_reaction_wheel_degradation,0.2933438099412841
71,reaction_wheel_degradation,2,physics_confidence,0.14354163116547605
71,reaction_wheel_degradation,3,physics_detected,0.04298216652553742
71,reaction_wheel_degradation,4,rule_pred_battery_voltage_sensor_drift,0.024636801701456112
71,reaction_wheel_degradation,5,wheel_current_residual_a,0.015052257707148527
72,reaction_wheel_degradation,1,physics_pred_reaction_wheel_degradation,0.2873566608771326
72,reaction_wheel_degradation,2,physics_confidence,0.1382294633999064
72,reaction_wheel_degradation,3,physics_detected,0.039187603403282645
72,reaction_wheel_degradation,4,rule_pred_battery_voltage_sensor_drift,0.0243581401436498
72,reaction_wheel_degradation,5,ml_wheel_ratio,0.021107867205595952
73,reaction_wheel_degradation,1,physics_pred_reaction_wheel_degradation,0.22781153624858858
73,reaction_wheel_degradation,2,physics_confidence,0.10295203559060763
73,reaction_wheel_degradation,3,wheel_current_residual_a,0.09409705170334848
73,reaction_wheel_degradation,4,wheel_temp_residual_c,0.06287539883423862
73,reaction_wheel_degradation,5,rule_pred_battery_voltage_sensor_drift,0.03284013767857051
74,reaction_wheel_degradation,1,physics_pred_reaction_wheel_degradation,0.2282869011580338
74,reaction_wheel_degradation,2,wheel_current_residual_a,0.10763664551358497
74,reaction_wheel_degradation,3,physics_confidence,0.10562559357423039
74,reaction_wheel_degradation,4,rule_pred_battery_voltage_sensor_drift,0.03688013859569016
74,reaction_wheel_degradation,5,wheel_current_measured,0.030249707526299907
75,reaction_wheel_degradation,1,physics_pred_reaction_wheel_degradation,0.2828850772246626
75,reaction_wheel_degradation,2,physics_confidence,0.13227081761565804
75,reaction_wheel_degradation,3,physics_detected,0.035044505413858354
75,reaction_wheel_degradation,4,wheel_current_residual_a,0.03073745541744828
75,reaction_wheel_degradation,5,rule_pred_battery_voltage_sensor_drift,0.025201542890767824
76,reaction_wheel_degradation,1,physics_pred_reaction_wheel_degradation,0.26221411351464363
76,reaction_wheel_degradation,2,physics_confidence,0.13112983741973683
76,reaction_wheel_degradation,3,wheel_current_residual_a,0.11664486548156733
76,reaction_wheel_degradation,4,physics_detected,0.03399568748926659
76,reaction_wheel_degradation,5,rule_pred_battery_voltage_sensor_drift,0.02750375176878592
77,reaction_wheel_degradation,1,physics_pred_reaction_wheel_degradation,0.24939140829757145
77,reaction_wheel_degradation,2,wheel_current_residual_a,0.12001493791541464
77,reaction_wheel_degradation,3,physics_confidence,0.11789917997880497
77,reaction_wheel_degradation,4,rule_pred_battery_voltage_sensor_drift,0.03981614455493225
77,reaction_wheel_degradation,5,wheel_current_measured,0.03198750186328951
78,reaction_wheel_degradation,1,physics_pred_reaction_wheel_degradation,0.2842796103692118
78,reaction_wheel_degradation,2,physics_confidence,0.1440697494641717
78,reaction_wheel_degradation,3,physics_detected,0.05122455269202213
78,reaction_wheel_degradation,4,wheel_temp_residual_c,0.04613134917948386
78,reaction_wheel_degradation,5,rule_pred_battery_voltage_sensor_drift,0.02674484743815475
79,reaction_wheel_degradation,1,physics_pred_reaction_wheel_degradation,0.24596787615628676
79,reaction_wheel_degradation,2,physics_confidence,0.12016285339954529
79,reaction_wheel_degradation,3,wheel_current_residual_a,0.11334973972116065
79,reaction_wheel_degradation,4,physics_detected,0.030047636542222752
79,reaction_wheel_degradation,5,rule_pred_battery_voltage_sensor_drift,0.027675185309466867
80,reaction_wheel_degradation,1,physics_pred_reaction_wheel_degradation,0.2629815938447031
80,reaction_wheel_degradation,2,wheel_current_residual_a,0.11343957351759609
80,reaction_wheel_degradation,3,physics_confidence,0.11113162742868393
80,reaction_wheel_degradation,4,rule_pred_battery_voltage_sensor_drift,0.025396283945885806
80,reaction_wheel_degradation,5,physics_detected,0.02415792118553615
81,battery_voltage_sensor_drift,1,rule_pred_battery_voltage_sensor_drift,0.3287910214851764
81,battery_voltage_sensor_drift,2,rule_confidence,0.13644950165644415
