time_s,time_min,in_sunlight,solar_power_w,load_power_w,battery_power_w,battery_voltage_v,battery_current_a,battery_soc,battery_soc_percent
17040.0,284.0,1,614.9226763059908,354.15823381635533,-260.7644424896354,29.51307697561237,-8.835555936953428,0.8782692439030928,87.82692439030927
17100.0,285.0,1,615.5884572681198,350.0000000000001,-265.58845726811967,29.52888581235452,-8.994191618195115,0.8822214530886303,88.22214530886303
17160.0,286.0,1,616.1782928333851,345.8417661836448,-270.3365266497403,29.54497727227415,-9.1499994790462,0.8862443180685372,88.62443180685372
17220.0,287.0,1,616.6893093822022,341.86526713848406,-274.8240422437181,29.561335846217226,-9.296739622099507,0.8903339615543068,89.03339615543068
17280.0,288.0,1,617.1190172933127,338.2442949541506,-278.87472233916213,29.57793553207075,-9.42847150494273,0.8944838830176872,89.44838830176872
17340.0,289.0,1,617.465323072968,335.13710349045215,-282.3282195825158,29.594740783236375,-9.539810524119801,0.8986851958090937,89.86851958090936
17400.0,290.0,1,617.7265395542198,332.6794919243112,-285.0470476299086,29.61170786940482,-9.626160331144652,0.9029269673512055,90.29269673512054
17460.0,291.0,1,617.9013941166289,330.978869674097,-286.92252444253194,29.62878659109783,-9.68391073189409,0.9071966477744574,90.71966477744574
17520.0,292.0,1,617.9890348863438,330.1095620926345,-287.8794727937093,29.645922274002217,-9.710592577724025,0.9114805685005543,91.14805685005543
17580.0,293.0,1,617.9890348863438,330.1095620926345,-287.8794727937093,29.663057956906606,-9.704982986310108,0.9157644892266512,91.57644892266512
17640.0,294.0,1,617.9013941166289,330.9788696740969,-286.922524442532,29.680136678599613,-9.667156440334484,0.9200341696499031,92.00341696499031
17700.0,295.0,1,617.7265395542198,332.6794919243112,-285.0470476299086,29.69710376476806,-9.598479699831257,0.924275941192015,92.4275941192015
17760.0,296.0,1,617.465323072968,335.1371034904521,-282.3282195825159,29.713909015933687,-9.501550921190516,0.9284772539834214,92.84772539834213
17820.0,297.0,1,617.1190172933127,338.2442949541506,-278.87472233916213,29.73050870178721,-9.38008579457633,0.9326271754468018,93.26271754468019
17880.0,298.0,1,616.6893093822022,341.8652671384839,-274.8240422437183,29.746867275730285,-9.238755788847058,0.9367168189325714,93.67168189325714
17940.0,299.0,1,616.1782928333851,345.8417661836447,-270.33652664974034,29.762958735649914,-9.082985634957478,0.9407396839124782,94.07396839124782
18000.0,300.0,1,615.5884572681198,349.99999999999994,-265.58845726811984,29.778767572392063,-8.918718903409127,0.9446918930980157,94.46918930980158
18060.0,301.0,1,614.9226763059908,354.15823381635516,-260.7644424896356,29.7942892653974,-8.752161871251051,0.9485723163493495,94.85723163493495
18120.0,302.0,1,614.184193564921,358.1347328615159,-256.0494607034051,29.80953030472498,-8.589516778223768,0.9523825761812454,95.23825761812455
18180.0,303.0,1,613.376606858593,361.75570504584937,-251.62090181274368,29.824507739356694,-8.436716005900825,0.9561269348391732,95.61269348391733
18240.0,304.0,1,612.503850668262,364.8628965095479,-247.64095415871407,29.83924827234233,-8.299168661974964,0.9598120680855826,95.98120680855826
18300.0,305.0,1,611.5701769743577,367.32050807568874,-244.24966889866892,29.85378694311011,-8.181530516182598,0.963446735777527,96.3446735777527
18360.0,306.0,1,610.5801345412646,369.021130325903,-241.55900421536154,29.868165455265785,-8.087507234990706,0.9670413638164461,96.70413638164462
18420.0,307.0,1,609.5385467561977,369.8904379073655,-239.64810884883218,29.882430223649642,-8.019699437268967,0.970607555912411,97.0607555912411
18480.0,308.0,1,608.450488130146,369.8904379073655,-238.56005022278055,29.896630226639097,-7.979496298222064,0.9741575566597738,97.41575566597737
18540.0,309.0,1,607.3212595753644,369.02113032590313,-238.30012924946124,29.91081475814204,-7.967022335444521,0.9777036895355098,97.77036895355099
18600.0,310.0,1,606.156362579862,367.32050807568885,-238.8358545041732,29.925031178053,-7.9811397048546855,0.9812577945132505,98.12577945132504
18660.0,311.0,1,604.961472404706,364.8628965095479,-240.0985758951581,29.939322759951523,-8.019505912683071,0.9848306899878809,98.4830689987881
18720.0,312.0,1,603.7424104347197,361.7557050458495,-241.98670538887018,29.953726730510386,-8.07868441766835,0.9884316826275963,98.84316826275963
